iter	Passed	Remaining
255	9765	28381
256	9802	28340
257	9840	28299
258	9875	28254
259	9910	28205
260	9950	28173
261	9985	28128
262	10023	28088
263	10062	28052
264	10097	28007
265	10136	27970
266	10172	27925
267	10210	27888
268	10249	27853
269	10290	27823
270	10328	27784
271	10364	27739
272	10400	27697
273	10439	27659
274	10476	27619
275	10512	27575
276	10548	27533
277	10583	27487
278	10620	27446
279	10654	27396
280	10688	27348
281	10727	27314
282	10776	27303
283	10814	27264
284	10847	27213
285	10883	27170
286	10919	27126
287	10955	27083
288	10990	27039
289	11028	27001
290	11063	26954
291	11098	26910
292	11131	26859
293	11167	26816
294	11202	26772
295	11240	26734
296	11283	26706
297	11318	26662
298	11356	26624
299	11392	26581
300	11429	26542
301	11480	26534
302	11520	26499
303	11558	26462
304	11595	26421
305	11632	26382
306	11665	26333
307	11699	26285
308	11733	26238
309	11772	26203
310	11810	26164
311	11845	26120
312	11880	26076
313	11915	26032
314	11951	25989
315	11986	25944
316	12021	25900
317	12056	25857
318	12094	25819
319	12131	25779
320	12167	25736
321	12207	25703
322	12248	25673
323	12286	25634
324	12322	25592
325	12359	25552
326	12394	25510
327	12437	25481
328	12471	25436
329	12509	25397
330	12549	25364
331	12599	25350
332	12640	25319
333	12678	25281
334	12716	25242
335	12756	25210
336	12799	25180
337	12842	25154
338	12879	25114
339	12915	25070
340	12949	25026
341	12986	24985
342	13024	24947
343	13060	24906
344	13096	24864
345	13133	24824
346	13173	24789
347	13208	24746
348	13248	24713
349	13286	24674
350	13322	24632
351	13358	24591
352	13392	24547
353	13431	24510
354	13468	24470
355	13502	24426
356	13536	24381
357	13572	24338
358	13608	24298
359	13645	24259
360	13682	24218
361	13720	24180
362	13760	24147
363	13797	24107
364	13835	24070
365	13870	24026
366	13906	23985
367	13942	23944
368	13979	23905
369	14017	23866
370	14054	23827
371	14093	23791
372	14131	23753
373	14166	23712
374	14202	23671
375	14242	23637
376	14287	23610
377	14333	23585
378	14369	23544
379	14407	23506
380	14445	23468
381	14484	23432
382	14520	23392
383	14557	23352
384	14594	23314
385	14630	23272
386	14666	23231
387	14700	23187
388	14737	23147
389	14775	23110
390	14812	23070
391	14846	23027
392	14880	22983
393	14918	22945
394	14952	22901
395	14988	22861
396	15025	22822
397	15061	22781
398	15097	22741
399	15135	22703
400	15171	22662
401	15220	22641
402	15267	22617
403	15303	22576
404	15340	22537
405	15377	22498
406	15417	22462
407	15453	22422
408	15489	22381
409	15525	22341
410	15562	22302
411	15598	22261
412	15634	22221
413	15671	22181
414	15705	22139
415	15745	22103
416	15781	22064
417	15817	22023
418	15854	21983
419	15888	21940
420	15923	21900
421	15960	21861
422	15998	21823
423	16036	21785
424	16073	21746
425	16107	21704
426	16144	21664
427	16180	21623
428	16217	21585
429	16257	21550
430	16293	21510
431	16330	21471
432	16365	21430
433	16400	21388
434	16439	21352
435	16473	21309
436	16510	21270
437	16544	21228
438	16582	21190
439	16617	21149
440	16655	21112
441	16693	21074
442	16733	21039
443	16771	21001
444	16809	20964
445	16846	20925
446	16883	20886
447	16919	20846
448	16954	20806
449	16988	20764
450	17027	20727
451	17064	20688
452	17097	20645
453	17132	20603
454	17167	20563
455	17205	20526
456	17249	20495
457	17286	20456
458	17322	20417
459	17358	20377
460	17392	20335
461	17430	20297
462	17466	20258
463	17503	20219
464	17539	20179
465	17575	20140
466	17612	20101
467	17646	20060
468	17684	20022
469	17722	19984
470	17768	19956
471	17825	19939
472	17861	19900
473	17902	19866
474	17938	19826
475	17974	19787
476	18013	19750
477	18052	19714
478	18098	19685
479	18137	19648
480	18177	19613
481	18218	19579
482	18259	19544
483	18293	19503
484	18332	19466
485	18369	19428
486	18407	19390
487	18446	19353
488	18483	19315
489	18518	19274
490	18555	19235
491	18592	19196
492	18627	19156
493	18665	19118
494	18702	19079
495	18743	19045
496	18782	19008
497	18822	18973
498	18859	18935
499	18896	18896
500	18931	18856
501	18983	18832
502	19024	18797
503	19062	18759
504	19101	18722
505	19138	18684
506	19175	18645
507	19213	18608
508	19252	18571
509	19289	18532
510	19323	18491
511	19358	18450
512	19394	18411
513	19432	18373
514	19470	18336
515	19512	18302
516	19547	18261
517	19583	18222
518	19618	18181
519	19653	18141
520	19691	18103
521	19734	18070
522	19771	18032
523	19807	17993
524	19842	17952
525	19878	17913
526	19913	17873
527	19948	17832
528	19982	17791
529	20019	17753
530	20057	17715
531	20092	17675
532	20127	17635
533	20163	17595
534	20201	17558
535	20245	17525
536	20280	17485
537	20316	17446
538	20352	17407
539	20390	17369
540	20429	17332
541	20467	17295
542	20511	17263
543	20548	17224
544	20585	17186
545	20621	17146
546	20661	17110
547	20708	17081
548	20749	17045
549	20784	17005
550	20822	16968
551	20859	16929
552	20896	16890
553	20933	16852
554	20965	16810
555	21002	16771
556	21044	16737
557	21080	16698
558	21116	16659
559	21151	16619
560	21189	16581
561	21228	16544
562	21265	16506
563	21301	16467
564	21340	16430
565	21376	16391
566	21416	16355
567	21454	16317
568	21490	16278
569	21529	16241
570	21568	16204
571	21605	16166
572	21643	16128
573	21679	16089
574	21725	16057
575	21764	16021
576	21801	15982
577	21840	15946
578	21877	15907
579	21912	15867
580	21947	15827
581	21982	15788
582	22019	15749
583	22056	15711
584	22093	15672
585	22129	15633
586	22161	15592
587	22198	15553
588	22239	15518
589	22277	15480
590	22312	15441
591	22350	15403
592	22396	15371
593	22434	15333
594	22471	15295
595	22510	15259
596	22546	15219
597	22583	15181
598	22623	15145
599	22662	15108
600	22701	15071
601	22763	15049
602	22811	15018
603	22851	14981
604	22890	14944
605	22927	14906
606	22966	14869
607	23003	14831
608	23040	14793
609	23076	14754
610	23110	14713
611	23146	14674
612	23181	14634
613	23223	14599
614	23260	14561
615	23296	14522
616	23331	14482
617	23365	14442
618	23406	14406
619	23443	14368
620	23477	14328
621	23513	14289
622	23549	14250
623	23589	14213
624	23627	14176
625	23664	14138
626	23702	14100
627	23740	14062
628	23777	14024
629	23821	13990
630	23859	13952
631	23892	13911
632	23927	13872
633	23964	13834
634	23999	13794
635	24035	13756
636	24070	13716
637	24105	13677
638	24142	13639
639	24179	13600
640	24220	13564
641	24260	13528
642	24295	13489
643	24332	13450
644	24365	13410
645	24404	13373
646	24441	13335
647	24476	13295
648	24511	13256
649	24547	13217
650	24583	13178
651	24618	13139
652	24654	13101
653	24691	13063
654	24729	13025
655	24764	12986
656	24801	12947
657	24835	12908
658	24869	12868
659	24908	12831
660	24944	12793
661	24981	12755
662	25023	12719
663	25060	12681
664	25097	12643
665	25136	12605
666	25170	12566
667	25212	12530
668	25250	12493
669	25285	12453
670	25322	12415
671	25359	12377
672	25399	12341
673	25436	12303
674	25473	12264
675	25509	12226
676	25546	12188
677	25582	12149
678	25619	12111
679	25657	12074
680	25697	12037
681	25727	11996
682	25763	11957
683	25798	11918
684	25834	11880
685	25871	11842
686	25916	11807
687	25953	11769
688	25988	11730
689	26025	11692
690	26061	11654
691	26102	11617
692	26136	11578
693	26174	11540
694	26217	11505
695	26256	11468
696	26292	11430
697	26326	11390
698	26362	11352
699	26401	11314
700	26437	11276
701	26488	11244
702	26529	11208
703	26570	11171
704	26605	11132
705	26640	11093
706	26677	11055
707	26716	11018
708	26749	10979
709	26785	10940
710	26821	10902
711	26855	10863
712	26893	10825
713	26927	10786
714	26962	10747
715	26996	10707
716	27034	10670
717	27070	10632
718	27108	10594
719	27144	10556
720	27184	10519
721	27222	10481
722	27262	10444
723	27332	10419
724	27408	10396
725	27457	10362
726	27500	10326
727	27537	10288
728	27574	10250
729	27611	10212
730	27649	10174
731	27695	10139
732	27744	10106
733	27787	10070
734	27823	10031
735	27862	9994
736	27899	9956
737	27934	9917
738	27969	9878
739	28001	9838
740	28043	9801
741	28078	9763
742	28112	9724
743	28148	9685
744	28186	9647
745	28224	9610
746	28259	9571
747	28296	9532
748	28331	9494
749	28369	9456
750	28404	9417
751	28439	9379
752	28477	9341
753	28513	9302
754	28549	9264
755	28581	9224
756	28616	9186
757	28651	9147
758	28692	9110
759	28730	9072
760	28768	9035
761	28806	8997
762	28843	8959
763	28880	8921
764	28916	8882
765	28953	8844
766	28988	8806
767	29024	8767
768	29056	8728
769	29094	8690
770	29129	8651
771	29165	8613
772	29205	8576
773	29242	8538
774	29279	8500
775	29316	8462
776	29353	8424
777	29391	8386
778	29429	8348
779	29465	8310
780	29501	8272
781	29539	8234
782	29574	8196
783	29609	8157
784	29646	8119
785	29685	8082
786	29721	8044
787	29757	8005
788	29792	7967
789	29828	7929
790	29873	7893
791	29917	7857
792	29953	7818
793	29989	7780
794	30027	7742
795	30062	7704
796	30096	7665
797	30138	7629
798	30181	7592
799	30220	7555
800	30257	7517
801	30307	7482
802	30352	7446
803	30390	7408
804	30426	7370
805	30461	7331
806	30498	7293
807	30532	7255
808	30568	7217
809	30604	7178
810	30641	7140
811	30691	7105
812	30729	7068
813	30767	7030
814	30803	6992
815	30839	6953
816	30875	6915
817	30912	6877
818	30951	6840
819	30986	6801
820	31023	6763
821	31059	6725
822	31094	6687
823	31139	6651
824	31185	6615
825	31224	6577
826	31261	6539
827	31299	6501
828	31342	6465
829	31382	6427
830	31419	6389
831	31455	6351
832	31506	6316
833	31580	6285
834	31641	6252
835	31690	6216
836	31729	6179
837	31765	6140
838	31801	6102
839	31838	6064
840	31873	6025
841	31909	5987
842	31946	5949
843	31984	5911
844	32023	5874
845	32058	5835
846	32094	5797
847	32129	5759
848	32169	5721
849	32209	5684
850	32246	5646
851	32285	5608
852	32331	5571
853	32381	5536
854	32429	5499
855	32479	5463
856	32524	5427
857	32573	5390
858	32622	5354
859	32680	5320
860	32730	5283
861	32784	5248
862	32828	5211
863	32869	5173
864	32906	5135
865	32942	5097
866	32979	5059
867	33017	5021
868	33055	4983
869	33093	4944
870	33129	4906
871	33169	4868
872	33206	4830
873	33245	4792
874	33281	4754
875	33318	4716
876	33355	4678
877	33390	4639
878	33426	4601
879	33466	4563
880	33501	4525
881	33533	4486
882	33570	4448
883	33605	4409
884	33641	4371
885	33679	4333
886	33716	4295
887	33752	4257
888	33790	4219
889	33824	4180
890	33862	4142
891	33899	4104
892	33934	4066
893	33970	4027
894	34006	3989
895	34045	3951
896	34082	3913
897	34116	3875
898	34156	3837
899	34197	3799
900	34241	3762
901	34295	3726
902	34337	3688
903	34378	3650
904	34415	3612
905	34453	3574
906	34489	3536
907	34525	3498
908	34561	3459
909	34598	3421
910	34634	3383
911	34680	3346
912	34717	3308
913	34753	3270
914	34788	3231
915	34822	3193
916	34860	3155
917	34896	3117
918	34932	3078
919	34969	3040
920	35005	3002
921	35040	2964
922	35076	2926
923	35112	2888
924	35151	2850
925	35191	2812
926	35229	2774
927	35275	2736
928	35335	2700
929	35399	2664
930	35447	2627
931	35491	2589
932	35535	2551
933	35583	2514
934	35629	2476
935	35683	2439
936	35723	2401
937	35760	2363
938	35793	2325
939	35830	2287
940	35868	2248
941	35904	2210
942	35940	2172
943	35975	2134
944	36014	2096
945	36052	2057
946	36087	2019
947	36120	1981
948	36161	1943
949	36200	1905
950	36237	1867
951	36274	1828
952	36313	1790
953	36353	1752
954	36391	1714
955	36428	1676
956	36463	1638
957	36500	1600
958	36537	1562
959	36574	1523
960	36610	1485
961	36649	1447
962	36687	1409
963	36724	1371
964	36758	1333
965	36794	1295
966	36830	1256
967	36866	1218
968	36902	1180
969	36939	1142
970	36977	1104
971	37015	1066
972	37053	1028
973	37089	990
974	37126	951
975	37168	913
976	37206	875
977	37243	837
978	37277	799
979	37313	761
980	37353	723
981	37389	685
982	37426	647
983	37460	609
984	37496	571
985	37535	532
986	37572	494
987	37609	456
988	37647	418
989	37690	380
990	37735	342
991	37771	304
992	37807	266
993	37847	228
994	37883	190
995	37921	152
996	37954	114
997	37990	76
998	38027	38
999	38062	0
